Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
996,serabi,1678,1.8,26.1,40.9,0.7,14.0,0.0,0.0,2.0,0.02,0.02,0.04,3,0.0,8,103,18,16.0,36,0.6,0.4
997,sereh,577,11.2,2.2,25.9,5.2,0.5,0.0,1167.0,1.0,0.09,0.62,0.5,304,61.0,226,1903,734,125.0,176,49.0,2.4
998,siomay,297,9.5,1.4,4.5,0.3,0.3,35.0,7.0,1.0,0.14,0.04,0.12,7,3.0,26,287,6,19.0,159,0.3,0.4
999,sirup ad plex,163,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
1000,sirup batuk,163,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
1001,sirup papasetamol,163,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
1002,slondok,2021,2.2,25.6,63.8,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
1003,snack anak mas,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
1004,snack boiki,2205,3.0,30.3,59.7,1.1,17.5,0.0,0.0,2.0,0.03,0.01,0.01,5,0.0,4,31,5,7.0,36,0.5,0.2
1005,snack idola,866,4.4,2.0,42.9,0.6,0.3,72.0,32.0,0.0,0.03,0.1,0.03,11,0.0,22,45,12,7.0,54,0.5,0.3
1006,snack primarasa,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
1007,snack rasa kelapa muda,2962,6.6,67.0,30.4,18.0,0.8,0.0,0.0,2.0,0.14,0.04,0.1,52,6.0,40,712,28,64.0,226,4.8,2.2
1008,snack super lipo (tapioka. gula. garam.,2100,2.2,25.6,68.8,3.0,14.7,0.0,12.0,2.0,0.26,0.04,0.58,30,60.0,4,486,38,20.0,140,1.6,0.6
1009,snack taro,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
1010,snack taro/kenji snack top ten sn,2096,6.0,25.7,62.1,2.5,14.8,0.0,5.0,2.0,0.15,0.04,0.24,20,23.0,3,236,22,19.0,107,1.2,0.6
1011,snack tic tic makanan ringan/dora emon,2335,5.9,38.4,51.0,3.6,20.0,0.0,0.0,5.0,0.21,0.12,0.66,45,8.0,656,1008,24,58.0,157,1.5,0.6
1012,snack tuyul & mbak yul (jagung. garam.,1490,3.2,3.4,80.7,2.9,1.8,0.0,0.0,1.0,0.16,0.09,0.12,10,0.0,15,116,3,51.0,97,1.5,0.7
1013,sun,1619,14.0,1.0,78.1,0.7,0.2,5.0,3.0,0.0,0.15,0.4,0.22,18,3.0,130,482,315,58.0,338,0.5,1.9
1014,tape goreng,2075,1.8,30.5,57.2,2.4,17.5,0.0,0.0,2.0,0.15,0.01,0.34,25,0.0,4,393,31,16.0,113,1.3,0.5
1015,tape ubi (poteng),1377,2.5,0.7,81.7,3.4,0.2,0.0,0.0,0.0,0.21,0.01,0.49,36,0.0,5,561,44,23.0,162,1.8,0.7
1016,air ikan cakalang,59,1.0,0.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.01,2,0.0,1019,27,4,3.0,19,0.1,0.0
1017,air ikan layang,59,1.0,0.5,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.01,0.01,2,0.0,1019,27,4,3.0,19,0.1,0.0
1018,air sayur,8,0.1,0.0,0.5,0.3,0.0,0.0,1.0,0.0,0.01,0.01,0.01,2,2.0,1,10,3,1.0,2,0.0,0.0
1019,air sayur + isi,17,0.2,0.1,0.9,0.6,0.0,0.0,3.0,0.0,0.01,0.01,0.02,4,4.0,2,19,6,2.0,3,0.0,0.0
1020,air sayur nangka,50,0.1,0.0,3.1,0.2,0.0,0.0,9.0,0.0,0.01,0.01,0.02,3,1.0,1,47,0,3.0,3,0.1,0.0
1021,air sayur sukun,50,0.1,0.0,3.1,0.2,0.0,0.0,9.0,0.0,0.01,0.01,0.02,3,1.0,1,47,0,3.0,3,0.1,0.0
1022,air tajin purworejo,79,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0
1023,bubur ayam,665,5.1,2.1,28.6,0.3,0.5,8.0,4.0,0.0,0.03,0.04,0.08,3,0.0,7,47,4,15.0,55,0.3,0.6
1024,bubur beras bersantang purworejo,113,0.4,1.4,3.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,1,17,1,3.0,8,0.1,0.1
1025,bubur campur belu,314,1.4,0.1,16.5,0.3,0.1,0.0,11.0,0.0,0.02,0.02,0.04,3,2.0,1,39,2,8.0,23,0.2,0.2
1026,bubur cenil/bubur gintir/bubur candil,305,1.3,0.1,16.0,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,16,2,7.0,21,0.1,0.2
1027,bubur halus campur susu belu,444,3.9,2.9,15.7,0.1,0.1,4.0,63.0,1.0,0.05,0.1,0.06,7,6.0,48,154,116,14.0,100,1.3,0.6
1028,bubur havermuth,259,2.6,1.0,10.8,1.7,0.4,0.0,2.0,0.0,0.11,0.02,0.02,4,0.0,1,56,8,24.0,76,0.7,0.5
1029,bubur kacang hijau belu,71,1.2,0.1,3.1,1.0,0.0,0.0,0.0,0.0,0.03,0.01,0.02,31,0.0,1,42,4,8.0,23,0.4,0.2
1030,bubur kacang hijau with coconut milk,586,3.1,3.5,24.7,2.9,0.1,0.0,1.0,0.0,0.07,0.02,0.04,65,0.0,10,179,259,19.0,133,1.3,0.5
1031,bubur kacang ijo and beras merah,473,3.0,0.2,24.8,2.0,0.1,0.0,1.0,0.0,0.07,0.03,0.05,63,0.0,1,92,8,20.0,58,0.8,0.5
1032,bubur kacang ijo nestle,1732,14.2,9.8,65.8,0.4,0.3,13.0,210.0,2.0,0.18,0.33,0.22,24,19.0,160,526,389,53.0,352,4.3,2.3
1033,bubur kacang ijo with sugar and water,310,2.3,0.2,16.2,2.0,0.1,0.0,1.0,0.0,0.06,0.02,0.03,62,0.0,1,84,7,16.0,47,0.8,0.4
1034,bubur ketan hitam,636,1.1,3.4,30.1,1.0,0.1,0.0,0.0,0.0,0.01,0.01,0.02,3,0.0,2,45,3,7.0,23,0.3,0.2
1035,bubur lunac belu,151,0.7,0.1,8.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1,0.0,0,8,1,4.0,10,0.1,0.1
1036,bubur nasi,305,1.3,0.1,16.0,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,16,2,7.0,21,0.1,0.2
1037,bubur nasi (belu),151,0.7,0.1,8.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1,0.0,0,8,1,4.0,10,0.1,0.1
1038,bubur nasi campur,276,2.0,0.5,13.3,1.2,0.1,0.0,0.0,0.0,0.04,0.02,0.03,32,0.0,1,55,5,13.0,37,0.5,0.3
1039,bubur nasi campur kangkung,523,2.4,0.2,27.5,0.3,0.1,0.0,16.0,0.0,0.02,0.02,0.05,5,0.0,1,37,6,14.0,37,0.3,0.4
1040,bubur nasi campur sawi belu,264,1.3,0.1,13.9,0.3,0.0,0.0,18.0,0.0,0.01,0.01,0.03,5,2.0,1,26,6,7.0,20,0.2,0.2
1041,bubur nasi campur supermie belu,184,0.9,0.1,9.5,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1,0.0,0,10,1,4.0,13,0.1,0.1
1042,bubur nasi campur tomat belu,167,0.8,0.1,8.8,0.3,0.0,0.0,15.0,0.0,0.02,0.01,0.03,3,3.0,2,46,2,6.0,14,0.1,0.1
1043,bubur nasi kac. hij. (belu),50,0.5,0.0,2.5,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.01,11,0.0,0,15,1,3.0,10,0.1,0.1
1044,bubur nasi kecap,640,1.9,0.1,36.3,0.2,0.1,0.0,0.0,0.0,0.01,0.02,0.04,2,0.0,280,27,3,9.0,28,0.3,0.2
1045,bubur nasi wortel,322,1.5,0.1,17.1,0.5,0.1,0.0,194.0,0.0,0.01,0.02,0.05,3,0.0,7,39,5,9.0,24,0.2,0.3
1046,bubur nestle belu made up,172,1.4,1.0,6.6,0.0,0.0,1.0,21.0,0.0,0.02,0.03,0.02,2,2.0,16,53,39,5.0,35,0.4,0.2
1047,bubur nestle dry,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1048,bubur nutricia sayur daging,1732,14.2,9.8,65.8,0.4,0.3,13.0,210.0,2.0,0.18,0.33,0.22,24,19.0,160,526,389,53.0,352,4.3,2.3
1049,bubur pacar,548,0.4,3.4,24.8,1.1,0.0,0.0,0.0,0.0,0.01,0.0,0.01,3,0.0,4,36,2,4.0,14,0.3,0.1
1050,bubur saing,75,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0,0.0,0,4,0,2.0,5,0.0,0.1
1051,bubur sari buah nestle,2494,17.5,10.1,105.9,0.8,0.5,13.0,210.0,2.0,0.21,0.36,0.29,27,19.0,160,566,393,71.0,404,4.6,2.9
1052,bubur saring belu,305,1.3,0.1,16.0,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,16,2,7.0,21,0.1,0.2
1053,bubur serelac made up belu,372,3.7,3.1,11.4,0.0,0.1,4.0,67.0,1.0,0.05,0.1,0.05,7,6.0,51,158,124,13.0,100,1.3,0.6
1054,bubur sum sum belu,151,0.7,0.1,8.0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.01,1,0.0,0,8,1,4.0,10,0.1,0.1
1055,bubur sumsum/bubur belohok,146,0.3,0.9,6.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1,0.0,1,12,1,2.0,6,0.1,0.1
1056,bubur sun beras merah,192,2.2,1.9,5.2,0.0,0.0,3.0,42.0,0.0,0.03,0.06,0.03,4,4.0,32,97,77,7.0,60,0.8,0.4
1057,bubur sun beras merah belu made up,172,1.4,1.0,6.6,0.0,0.0,1.0,21.0,0.0,0.02,0.03,0.02,2,2.0,16,53,39,5.0,35,0.4,0.2
1058,bubur sun kacang hijau belu made up,347,2.8,2.0,13.2,0.1,0.1,3.0,42.0,0.0,0.04,0.07,0.04,5,4.0,32,105,78,11.0,70,0.9,0.5
1059,bubur sun pisang belu made up,347,2.8,2.0,13.2,0.1,0.1,3.0,42.0,0.0,0.04,0.07,0.04,5,4.0,32,105,78,11.0,70,0.9,0.5
1060,bubur tepung,305,1.3,0.1,16.0,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,16,2,7.0,21,0.1,0.2
1061,bubur tepung beras dry rice flour,1536,6.8,0.6,80.7,0.8,0.3,0.0,0.0,0.0,0.06,0.06,0.14,6,0.0,0,82,8,37.0,104,0.6,1.1
1062,bubur tepung beras merah,305,1.3,0.1,16.0,0.2,0.1,0.0,0.0,0.0,0.01,0.01,0.03,1,0.0,0,16,2,7.0,21,0.1,0.2
1063,bubur tepung beras -oko belu,238,2.0,1.4,9.0,0.1,0.0,2.0,29.0,0.0,0.02,0.05,0.03,3,3.0,22,73,54,7.0,49,0.6,0.3
1064,bubur tepung jangung belu,364,1.9,0.9,18.5,1.8,0.4,0.0,0.0,0.0,0.09,0.05,0.07,6,0.0,8,69,1,30.0,58,0.8,0.4
1065,bubur tim,331,2.0,0.5,16.1,0.2,0.1,19.0,135.0,0.0,0.02,0.06,0.04,11,0.0,6,31,6,10.0,30,0.3,0.3
1066,bubur tim belu,180,1.4,0.4,8.1,0.1,0.1,19.0,135.0,0.0,0.01,0.05,0.03,11,0.0,6,23,5,6.0,20,0.2,0.2
1067,cangkring tetelan,79,2.8,0.8,0.0,0.0,0.0,7.0,0.0,0.0,0.01,0.02,0.04,1,0.0,6,38,1,3.0,22,0.2,0.5
1068,cerelac/ ceresoy,1619,14.0,1.0,78.1,0.7,0.2,5.0,3.0,0.0,0.15,0.4,0.22,18,3.0,130,482,315,58.0,338,0.5,1.9
1069,kuah asam ikan tembang belu,38,1.7,0.3,0.0,0.0,0.1,6.0,1.0,0.0,0.02,0.01,0.01,1,0.0,5,38,1,3.0,27,0.0,0.1
1070,kuah sayur kool belu,121,0.5,2.2,2.4,1.2,0.1,0.0,19.0,0.0,0.03,0.03,0.05,10,10.0,4,72,12,5.0,9,0.2,0.1
1071,saos tomat,134,1.4,0.5,6.9,1.7,0.2,0.0,131.0,0.0,0.09,0.08,0.12,23,29.0,14,333,8,17.0,36,0.8,0.2
1072,soto ayam,452,7.4,4.6,8.7,0.5,0.9,75.0,34.0,0.0,0.03,0.12,0.07,9,0.0,30,56,12,10.0,69,0.5,0.6
1073,soto daging,238,3.6,4.6,0.0,0.0,0.2,13.0,0.0,0.0,0.01,0.02,0.05,1,0.0,8,49,1,3.0,28,0.2,0.6
1074,sup ayam belu,180,4.0,2.8,0.0,0.0,0.6,12.0,6.0,0.0,0.01,0.04,0.04,1,0.0,11,27,2,3.0,27,0.2,0.3
1075,sup daging  belu,238,3.6,4.6,0.0,0.0,0.2,13.0,0.0,0.0,0.01,0.02,0.05,1,0.0,8,49,1,3.0,28,0.2,0.6
1076,sup kacang hijau  belu,121,1.9,0.1,5.2,1.6,0.1,0.0,1.0,0.0,0.05,0.02,0.03,52,0.0,1,70,6,13.0,39,0.6,0.3
1077,sup kacang merah  belu,134,2.2,0.1,5.7,1.6,0.1,0.0,0.0,0.0,0.04,0.02,0.03,33,0.0,1,101,7,11.0,36,0.7,0.3
1078,susu bebelac,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1079,susu bendera 123,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1080,susu chilmil,1862,16.2,14.3,63.7,0.0,0.3,19.0,315.0,3.0,0.23,0.46,0.23,32,28.0,240,728,578,53.0,451,6.0,2.6
1081,susu dancow,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1082,susu dancow balita,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1083,susu dancow coklat,1812,13.0,11.4,70.9,0.0,0.2,15.0,452.0,2.0,0.18,0.37,0.18,25,22.0,192,583,462,42.0,361,4.8,2.1
1084,susu dancow instant,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1085,susu dancow made up(belu),163,1.3,1.1,6.1,0.0,0.0,2.0,25.0,0.0,0.02,0.04,0.02,3,2.0,19,58,46,4.0,36,0.5,0.2
1086,susu enfamil,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1087,susu envapro,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1088,susu kental manis made up belu,1385,8.0,9.8,55.0,0.0,0.3,35.0,138.0,0.0,0.1,0.43,0.15,15,3.0,138,351,288,28.0,231,0.3,1.0
1089,susu lactogen,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1090,susu lactogen 1,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1091,susu lactogen 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1092,susu lactogen made up (belu),163,1.3,1.1,6.1,0.0,0.0,2.0,25.0,0.0,0.02,0.04,0.02,3,2.0,19,58,46,4.0,36,0.5,0.2
1093,susu llm,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1094,susu morinaga,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1095,susu nutrilon,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1096,susu nutrima,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1097,susu promil,1933,22.9,18.1,53.8,0.0,0.5,68.0,250.0,0.0,0.28,1.12,0.37,40,7.0,378,1045,825,77.0,667,0.5,2.8
1098,susu s26,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1099,susu sgm 1,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1100,susu sgm 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1101,susu sgm dry powder,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1102,susu sustagen,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1103,susu sustagen yunior,1527,20.4,1.2,69.4,0.0,0.0,12.0,306.0,0.0,0.24,0.85,0.24,30,66.0,312,997,738,66.0,607,4.0,2.4
1104,susu vitalac 1,2092,10.8,24.5,60.8,0.0,8.9,13.0,410.0,3.0,0.15,0.31,0.15,21,49.0,160,486,385,35.0,301,6.0,1.8
1105,susu vitalac 2,1941,21.6,19.0,51.6,0.0,0.4,25.0,420.0,4.0,0.3,0.6,0.3,42,37.0,320,970,770,70.0,600,8.0,3.5
1106,Puree wortel,200,2.0,0.2,48.0,4.0,0.1,0.0,1.5,0.6,0.1,0.1,0.2,19,7.0,45,220,50,20.0,40,0.6,0.2
1107,Puree kentang,280,2.0,0.2,60.0,3.0,0.1,0.0,2.0,0.2,0.1,0.1,0.2,11,8.0,5,425,20,10.0,40,0.8,0.3
1108,Puree labu kuning,210,1.5,0.1,46.0,4.0,0.1,0.0,1.2,0.3,0.1,0.1,0.2,16,9.0,15,450,20,12.0,30,0.5,0.2
1109,Puree ubi jalar,250,2.0,0.1,58.0,5.0,0.2,0.0,1.5,0.4,0.1,0.1,0.2,20,10.0,10,400,15,10.0,20,0.6,0.1
1110,Puree alpukat,300,3.0,15.0,15.0,6.0,1.0,0.0,5.0,1.0,0.1,0.1,0.3,50,15.0,5,600,25,15.0,50,1.0,0.3
1111,Puree pisang,330,1.0,1.0,23.0,2.0,0.3,0.0,2.0,0.5,0.1,0.1,0.2,40,12.0,10,350,20,8.0,30,0.5,0.2
1112,Bubur kacang hijau,250,4.0,0.5,40.0,7.0,0.5,0.0,3.0,0.7,0.1,0.1,0.4,25,20.0,25,700,30,18.0,50,1.0,0.4
1113,Bubur beras merah,230,5.0,1.0,30.0,5.0,0.4,0.0,2.5,0.6,0.1,0.1,0.3,20,18.0,20,600,25,15.0,45,0.9,0.3
1114,Puree brokoli,220,2.0,0.3,40.0,5.0,0.2,0.0,1.5,0.5,0.1,0.1,0.2,30,16.0,15,500,20,12.0,40,0.7,0.4
1115,Bubur oatmeal,240,3.0,2.0,55.0,8.0,0.3,0.0,1.0,0.4,0.1,0.1,0.3,35,14.0,5,550,15,10.0,35,0.5,0.3
1116,Bubur kacang merah,260,4.0,2.5,50.0,6.0,0.4,5.0,1.0,0.5,0.1,0.1,0.3,25,10.0,20,600,20,15.0,45,0.8,0.5
1117,Bubur ayam dan labu,270,6.0,3.0,45.0,7.0,0.6,15.0,1.5,0.6,0.1,0.1,0.3,35,15.0,30,700,25,18.0,50,1.2,0.6
1118,Nasi tim ayam,290,5.0,5.0,55.0,3.0,0.3,20.0,2.0,0.5,0.1,0.1,0.3,40,20.0,25,800,30,20.0,55,1.0,0.5
1119,Nasi tim daging sapi,310,7.0,8.0,70.0,2.5,0.4,30.0,3.0,0.7,0.1,0.1,0.4,45,25.0,20,750,35,22.0,60,1.2,0.4
1120,Nasi tim ikan,320,8.0,6.0,65.0,4.0,0.5,25.0,2.5,0.8,0.1,0.1,0.4,50,30.0,30,800,40,25.0,65,1.3,0.4
1121,Sup sayuran,300,6.0,3.0,60.0,6.0,0.2,10.0,2.0,0.5,0.1,0.1,0.3,30,20.0,10,600,25,18.0,50,1.0,0.3
1122,Bola-bola nasi dengan sayuran,310,7.0,4.0,62.0,4.5,0.3,15.0,2.0,0.6,0.1,0.1,0.3,40,25.0,15,700,30,20.0,55,1.2,0.5
1123,Omelet sayur,300,8.0,2.0,50.0,3.0,0.4,5.0,1.5,0.5,0.1,0.1,0.3,25,18.0,20,500,20,15.0,40,0.9,0.4
1124,Sup ayam dan kentang,260,4.0,1.0,30.0,5.0,0.3,0.0,1.0,0.4,0.1,0.1,0.2,20,15.0,15,400,15,12.0,30,0.6,0.3
1125,Bubur sereal,230,3.0,0.5,40.0,6.0,0.2,0.0,1.0,0.3,0.1,0.1,0.2,15,10.0,10,300,10,10.0,25,0.5,0.2
